keyword,article_count
stereoelectroencephalography,2
stereolithography,2
stereotactic,2
stereotactic neurosurgery,2
stereotactic radiation therapy,2
stereotactic radiosurgery (srs),2
stereotactic surgery,2
stereotaxy,2
stereotyped behavior,2
sterile,2
sternal fracture,2
sternal osteomyelitis,2
sternal reconstruction,2
sternal tumor,2
sternectomy,2
sternocleidomastoid muscle,2
sternocostoclavicular hyperostosis,2
sternum metastasis,2
steroid injection,2
steroid responsive,2
steroid treatment,2
steroid-dependent,2
steroid-induced rosacea,2
steroid-resistant,2
steroid-sparing therapy,2
sti,2
stickler syndrome,2
sticky bone,2
stiff knee,2
stiff knee gait,2
stiff limb syndrome,2
stiff man syndrome,2
stigmatization,2
stim1,2
stimulant,2
stimulation,2
stimulation-induced dyskinesia,2
stn,2
stoma prolapse,2
stomach diseases,2
stomatitis,2
stones,2
strabismus surgery,2
strain,2
street medicine,2
strength training,2
streptococcus bovis,2
streptococcus gallolyticus,2
streptococcus gallolyticus subsp pasteurianus,2
streptococcus gordonii,2
streptococcus mutans,2
streptococcus oralis,2
streptococcus salivarius,2
streptococcus sanguinis,2
streptococcus sinensis,2
streptococcus spp,2
stress echocardiography,2
stress management,2
stress response,2
stress urinary incontinence,2
strip perforation,2
strn-alk,2
strn-alk fusion,2
stroke in the young,2
stroke in young adults,2
stroke-like onset,2
stromal hyperplasia,2
stromal sarcoma,2
stromal tumors,2
structural analysis,2
structural magnetic resonance imaging,2
structural valve deterioration,2
struvite,2
stylet,2
stüve–wiedemann syndrome,2
sub-sahara,2
subacute combined degeneration of the spinal cord,2
subaortic membrane,2
subarachanoid hemorrhage,2
subarachnoidal hemorrhage,2
subcapsular,2
subcapsular hepatic hematoma,2
subclavian,2
subclavian artery aneurysm,2
subclavian artery injury,2
subclavian vein,2
subclavian vein thrombosis,2
subclinical hyperthyroidism,2
subclinical infection,2
subconjunctival injection,2
subcortical infarcts,2
subcutaenous administration,2
subcutaneous edema,2
subcutaneous fat,2
subcutaneous filariasis,2
subcutaneous hematoma,2
subcutaneous infusion,2
subcutaneous metastasis,2
subcutaneous sarcoidosis,2
subdural abscess,2
subdural hematoma (sdh),2
subependymal giant cell astrocytoma,2
subependymal nodules,2
subgaleal drainage,2
subglottic hemangioma,2
subglottis,2
subhyaloid hemorrhage,2
subinternal limiting membrane hemorrhage,2
subjective well-being,2
subluxated lens,2
submandibular salivary gland,2
submental flap,2
submental intubation,2
submucosal leiomyoma,2
submucosal lipoma,2
subperiosteal,2
subperiosteal hematoma,2
subperiosteal implant,2
subretinal,2
subretinal abscess,2
substantia nigra,2
substernal goiter,2
subtalar joint,2
subtype,2
subungual,2
subvesical bile duct,2
successful treatment,2
succinylcholine,2
suction,2
sudden,2
sudden hearing loss,2
sudden infant death,2
sudden infant death syndrome,2
sudden unexpected death,2
sudden unexpected death in epilepsy,2
suicide prevention,2
sulfamethoxazole,2
superb microvascular imaging,2
superdominant right coronary artery,2
superficial acral fibromyxoma,2
superficial digital flexor tendon,2
superinfection,2
superior canal dehiscence,2
superior canal dehiscence syndrome,2
superior cluneal nerve,2
superior gluteal artery,2
superior limbic keratoconjunctivitis,2
superior mesenteric artery injury,2
superior ophthalmic vein thrombosis,2
superior shoulder suspensory complex,2
superior thyroid artery,2
superior vena cava obstruction,2
supernumerary,2
supernumerary digit,2
superwarfarin,2
supination,2
supine position,2
supplementation,2
support,2
supportive care,2
suppurative hidradenitis,2
suppurative thyroiditis,2
supraclavicular,2
supraclavicular lymphadenopathy,2
supraglottic,2
suprainguinal fascia iliaca block,2
suprainguinal fascia iliaca block catheter,2
supraorbital craniotomy,2
suprascapular nerve,2
suprasellar region,2
supratentorial tumor,2
supraventricular tachycardia (svt),2
surge,2
surgical ablation,2
surgical amputation,2
surgical aortic valve replacement (savr),2
surgical case reports,2
surgical correction,2
surgical debulking,2
surgical emphysema,2
surgical endodontics,2
surgical enucleation,2
surgical flap,2
surgical guide,2
surgical hemostasis,2
surgical incision,2
surgical menopause,2
surgical operation,2
surgical simulation,2
surgical skills,2
surgical techniques,2
surgical tracheostomy,2
survey methodology,2
surveys,2
survival and prognosis,2
survival rate,2
survivor,2
survivorship,2
susceptibility-weighted imaging,2
sustainable development,2
sustained ventricular tachycardia,2
suture button,2
suvmax,2
svf,2
svt,2
swan neck deformity,2
sweat gland,2
sweat gland neoplasms,2
sweden,2
switzerland,2
sydenham chorea,2
sydenham’s chorea,2
symbolic violence,2
sympathetic ganglia,2
symphalangism,2
symptomatic epilepsy,2
symptomatic treatment,2
symptomatology,2
synchronous cancers,2
synchronous carcinomas,2
synchronous dual hematological malignancy,2
synchronous primary tumor,2
synergy,2
synj1,2
synkinesis,2
synonymous variant,2
synovectomy,2
synovialchondromatosis,2
synovitis–acne–pustulosis–hyperostosis–osteitis,2
synovium,2
synthetic,2
syphilitic uveitis,2
syrian crisis,2
systematic reviews,2
systemic corticosteroids,2
systemic hypertension,2
systemic jia,2
systemic juvenile idiopathic arthritis (sjia),2
systemic lupus erythematosis,2
systemic lupus erythromatosus,2
systemic mycosis,2
systemic reaction,2
systemic review,2
systemic sarcoidosis,2
systemic steroids,2
systemic thrombolysis,2
systemic-onset juvenile idiopathic arthritis,2
systemic-to-pulmonary shunt,2
systolic anterior motion of the mitral valve,2
t cell lymphoma,2
t cell lymphopenia,2
t marneffei,2
t(1,2
t(11,2
t(14,2
t(5,2
t(7,2
t-all,2
t-cell activation,2
t-cell exhaustion,2
t-cell large granular lymphocytic leukemia,2
t-cell prolymphocytic leukemia,2
t-cell-rich b-cell lymphoma,2
t-cells,2
t-dxd,2
t-lymphoblastic leukemia,2
t-lymphocytes,2
t-pa,2
t-pll,2
t-tube,2
t1 mapping,2
t1dm (type 1 diabetes mellitus),2
t3-thyrotoxicosis,2
t790m mutation,2
"tachycardia, ventricular",2
tachycardia-induced cardiomyopathy,2
tachypnea,2
taenia multiceps,2
tafro,2
tail,2
takotsubo (stress) cardiomyopathy,2
talar body,2
talar metastasis,2
talc,2
talimogene laherparepvec,2
tamoxifen retinopathy,2
tangier disease,2
tapering,2
target sign,2
targeted radiation therapy,2
targeted temperature management,2
targeted-gene sequencing,2
targeted-ngs,2
targetoid lesions,2
task shifting,2
task-specific,2
task-specific dystonia,2
task-specific focal dystonia,2
tatme,2
tatton-brown-rahman syndrome,2
tattoo reaction,2
tattoos,2
tau pet,2
tauopathies,2
taurine,2
tavi – transcatheter aortic valve implantation,2
taxanes,2
tbc1d24,2
tbl1xr1-rarb fusion,2
tbx19 gene,2
tbx5,2
tc-99m,2
teaching,2
teaching in emergency medicine,2
team dynamics,2
teamwork,2
teas,2
tebentafusp,2
teclistamab,2
tecovirimat,2
tectum,2
teflon,2
tele-rehabilitation,2
telescoping technique,2
telomere biology disorder,2
tempi,2
template,2
temporal artery,2
temporal artery biopsy,2
temporal bone fracture,2
temporalis muscle flap,2
temporary pacemaker,2
temporary pacing,2
temporo-mandibular joint,2
temporomandibular ankylosis,2
temporoparietal fascia flap,2
temsirolimus,2
tenckhoff catheter,2
tendon entrapment,2
tendon graft,2
tendon injuries,2
tendon lengthening,2
tendyne,2
tenofovir alafenamide (taf),2
tenolysis,2
tension bullae,2
tension pneumoperitoneum,2
tensor fascia latae flap,2
tentorium,2
tep,2
teratocarcinoma,2
teratomas,2
teres minor,2
term neonate,2
terminal ileum,2
terminal myelocystocele,2
termination of pregnancy,2
terpenes,2
terra firma-forme dermatosis,2
tert promoter,2
tertiary,2
testicular atrophy,2
testicular infarction,2
testicular malignancy,2
testicular neoplasm,2
testicular regression syndrome,2
testicular sperm extraction,2
testicular tumors,2
testicular vein,2
testis cancer,2
testis-sparing surgery,2
tethering,2
tetratricopeptide repeat domain 7a,2
tezepelumab,2
tfe3 rearrangement,2
tgm1,2
th1,2
th2,2
th2 inflammation,2
thalamic hemorrhage,2
thanatophoric dysplasia,2
the non-invasive prenatal testing (nipt),2
thematic analysis,2
thenar eminence,2
theory of mind,2
therapeutic anticoagulation,2
therapeutic approach,2
therapeutic endoscopy,2
therapeutic management,2
therapeutic option,2
therapeutic plasmapheresis,2
therapeutic strategy,2
therapy discontinuation,2
therapy response,2
therapy-related acute myeloid leukemia,2
therapy-related leukemia,2
therapy-related myelodysplastic syndrome,2
thermal burn,2
theta burst stimulation,2
theta-burst stimulation,2
thickened pituitary stalk,2
thin endometrium,2
third cranial nerve palsy,2
third ventricle tumor,2
third ventriculostomy,2
third-line,2
thoracic analgesia,2
thoracic aortic injury,2
thoracic disc,2
thoracic endometriosis syndrome,2
thoracic endovascular aneurysm repair,2
thoracic endovascular aortic repair (tevar),2
thoracic paravertebral block,2
thoracic radiotherapy,2
thoracic region,2
thoracic spinal cord,2
thoracoabdominal,2
thoracoabdominal aneurysm,2
thoracoabdominal aortic aneurysm,2
thoracocentesis,2
thoracoscope,2
thoracoscopic,2
thoracostomy tube,2
three-dimensional (3d),2
three-dimensional (3d) reconstruction,2
three-dimensional computed tomography,2
three-dimensional imaging,2
three-dimensional printed model,2
three-dimensional printed prosthesis,2
three-dimensional transesophageal echocardiography,2
throat,2
thrombin,2
thrombin-antithrombin complex,2
thrombocytopenia 2,2
thromboembolectomy,2
thromboembolic complication,2
thromboembolic disease,2
thromboembolic events,2
thrombolytics,2
thrombotic complications,2
thrombotic thrombocitopenic purpura,2
thrombotic thrombocytopenic purpura (ttp)-like syndrome,2
thrombotic vasculopathy,2
thrombus aspiration,2
thumb dislocation,2
thunderclap headache,2
thymic cancer,2
thymic tumors,2
thymic tumour,2
thymidylate synthase,2
thymomas,2
thyroid abscess,2
thyroid artery,2
thyroid cartilage,2
thyroid hormone,2
thyroid metastases,2
thyroid ophthalmopathy,2
thyroid papillary carcinoma,2
thyroid paraganglioma,2
thyroid stimulating hormone,2
thyroid transcription factor 1,2
thyroid tuberculosis,2
thyroid-associated ophthalmopathy,2
thyrotropin receptor,2
thyroxine-binding globulin,2
tibial,2
tibial defect,2
tibial fracture,2
tibial osteotomy,2
tibiocalcaneal arthrodesis,2
tic disorder,2
tic disorders,2
tick bites,2
tildrakizumab,2
time series analysis,2
time-series analysis,2
timing,2
timothy syndrome,2
tinea faciei,2
tipic syndrome,2
tisagenlecleucel,2
tissue adhesions,2
tissue biopsy,2
tissue of origin,2
tissue perfusion,2
tissue plasminogen activator (tpa),2
tissue regeneration,2
tizanidine,2
tlr,2
tlr7,2
tls,2
tmj disorders,2
tmp-smx,2
tnbc,2
tnfi,2
tnfrsf9,2
tnnt2,2
tobacco use,2
toceranib phosphate,2
tocilizumab (il-6 inhibitor),2
todani’s classification,2
todd paralysis,2
toes,2
toetva,2
togo,2
toll-like receptors,2
toluidine blue,2
tongue abscess,2
tongue diseases,2
tongue flap,2
tongue squamous cell carcinoma,2
tonic,2
tonsillar cyst,2
tonsillar mass,2
tonsillitis,2
tooth agenesis,2
tooth calcification,2
tooth mobility,2
tooth preservation,2
"tooth, impacted",2
toothbrush,2
topical chemotherapy,2
topical moxifloxacin,2
topical pimecrolimus,2
topical tacrolimus,2
topography-guided photorefractive keratectomy,2
torque teno virus,2
torsade de pointes (tdp),2
torsades,2
torsades de pointes (tdp),2
torture,2
tos,2
tosufloxacin,2
total artificial heart,2
total body irradiation,2
total excision,2
total neoadjuvant therapy,2
total parotidectomy,2
total talus replacement,2
totally endoscopic surgery,2
touch,2
touraine-solente-gole syndrome,2
tourette’s syndrome,2
toxic maculopathy,2
toxic neuropathy,2
toxic shock syndrome toxin 1,2
toxicity management,2
toxicokinetics,2
toxicological analysis,2
toxoplasma,2
toxoplasmic retinochoroiditis,2
tpe,2
trabeculae,2
tracheal,2
tracheal agenesis,2
tracheal compression,2
tracheal diverticulum,2
tracheal resection,2
tracheal stenting,2
trachelectomy,2
tracheobronchial amyloidosis,2
tracheobronchial foreign body,2
tracheobronchial injury,2
tracheobronchial remnant,2
tracheobronchopathia osteochondroplastica,2
tracheoesophageal fistula (tef),2
tracheostomy complications,2
traction apophysitis,2
traditional serrated adenoma,2
traffic,2
training load,2
trali,2
tralokinumab,2
trans-arterial embolization,2
trans-scaphoid fracture,2
transabdominal preperitoneal repair,2
transaminase,2
transanal resection,2
transarterial chemoembolization (tace),2
transcallosal,2
transcallosal approach,2
transcatheter device closure,2
transcatheter edge-to-edge mitral valve repair,2
transcatheter heart valve,2
transcatheter heart valve (thv),2
transcatheter intervention,2
transcatheter pulmonary valve implantation,2
transconjunctival approach,2
transcranial,2
transcranial doppler ultrasound,2
transcranial magnetic stimulation (tms),2
transcription factor e3,2
transcutaneous electrical nerve stimulation,2
transcutaneous spinal cord stimulation,2
transepidermal elimination,2
transesophageal echo,2
transethmoidal,2
transfluthrin,2
transforaminal lumbar interbody fusion,2
transforming growth factor beta,2
transfusion-related acute lung injury,2
transgender persons,2
transient cerebral ischemia,2
transient epileptic amnesia,2
transient global,2
transient ischemic attacks,2
transient neonatal myasthenia gravis,2
transient osteoporosis,2
transient synovitis,2
transitional cell,2
translabyrinthine approach,2
translation,2
translational research,2
translocations,2
transmesenteric,2
transmural migration,2
transnasal,2
transoral surgery,2
transoral thyroidectomy,2
transorbital,2
transosseous,2
transpedicular approach,2
transpetrosal approach,2
transplant rejection,2
transplant renal vein thrombosis,2
transplant-associated thrombotic microangiopathy (ta-tma),2
transplanted kidney,2
transplants,2
transporter,2
transpulmonary pressure,2
transradial intervention,2
transscleral cyclophotocoagulation,2
transsphenoidal resection,2
transtentorial,2
transtentorial herniation,2
transtheoretical model,2
transthoracic,2
transthoracic ultrasound,2
transurethral bladder resection,2
transurethral surgery,2
transvaginal sonography,2
transverse,2
transverse process,2
transverse vaginal septum,2
trap,2
trapped fourth ventricle,2
trapped temporal horn,2
trapping procedure,2
trastuzumab resistance,2
trastuzumab-deruxtecan,2
trauma management,2
traumatic abdominal wall hernia,2
traumatic aneurysm,2
traumatic aortic dissection,2
traumatic aortic injury,2
traumatic cardiac arrest,2
traumatic carotid cavernous fistula,2
traumatic carotid-cavernous fistula,2
traumatic cerebrovascular injury,2
traumatic endophthalmitis,2
traumatic hand injury,2
traumatic maculopathy,2
traumatic rupture,2
traumatic vertebral artery injury,2
traumatism,2
treat,2
treatment challenges,2
treatment decision,2
treatment methods,2
treatment option,2
treatment policy,2
treatment resistant schizophrenia,2
trees,2
treg,2
trepanation,2
trephination,2
trevor disease,2
trex1 gene,2
triad,2
triaditis,2
triage,2
trichinellosis,2
trichloroethylene,2
trichoblastoma,2
trichodysplasia spinulosa,2
trichology,2
trichomegaly,2
trichophyton mentagrophytes,2
trichorrhexis invaginata,2
trichosanthes kirilowii,2
triclabendazole,2
triclip,2
tricuspid valve repair,2
tricyclic antidepressants,2
trigeminal artery,2
trigeminal autonomic cephalalgias,2
trigeminal nerve involvement,2
trigeminal postherpetic neuralgia,2
trigemino-cardiac reflex,2
trigger point injection,2
triggers,2
triglyceride (tg),2
trigone,2
trilostane,2
trio,2
triorchidism,2
trip11,2
triple positive,2
triple therapy,2
triplets,2
tripterygium wilfordii,2
trisomy 20p,2
trochanteric fracture,2
trophoblastic differentiation,2
tropical infections,2
tropical myositis,2
tropical neurology,2
tropicamide,2
trousseau’s syndrome,2
trpc6,2
trpm1,2
trueperella pyogenes,2
truncal blocks,2
truncal obesity,2
truncated variants,2
truncating variant,2
truncus,2
trust,2
trypanosoma cruzi,2
tryptophan,2
ttc21b,2
ttfields,2
ttn gene mutation,2
tubal sterilization,2
tube erosion,2
tube migration,2
tubercular abscess,2
tubercular osteomyelitis,2
tuberculosis meningitis,2
tuberculosis peritonitis,2
tuberculosis screening,2
tuberculous granuloma,2
tuberculous lymphadenitis,2
tuberculous osteomyelitis,2
tuberculous pericarditis,2
tubridge flow diverter,2
tubulinopathies,2
tubulointerstitial kidney disease,2
tucatinib,2
tufted angioma,2
tullio phenomenon,2
tumefactive demyelinating lesion,2
tumefactive demyelinating lesions,2
tumefactive demyelination,2
tummy tuck,2
tumor biomarkers,2
tumor bleeding,2
tumor debulking,2
tumor flare,2
tumor hemorrhage,2
tumor immunotherapy,2
tumor necrosis,2
tumor necrosis factor inhibitors,2
tumor necrosis factor-alpha inhibitors,2
tumor necrosis factor-α,2
tumor regression,2
tumor response,2
tumor spread,2
tumor suppressor,2
tumor-infiltrating lymphocytes,2
tumor-to-tumor,2
tumour enucleation,2
tumour lysis syndrome,2
tumour marker,2
tunica vaginalis,2
tunnel vision,2
turcot syndrome,2
tursiops truncatus,2
twiddler's syndrome,2
twig-like middle cerebral artery,2
twin block,2
twin ectopic,2
twin gestation,2
twin reversed arterial perfusion sequence,2
twist,2
two root canals,2
two-stage surgery,2
tyk2 deficiency,2
tympanic membrane,2
type 2 inflammation,2
type 2 myocardial infarction,2
type a insulin resistance syndrome,2
type b insulin resistance,2
type i diabetes,2
type i diabetes mellitus,2
type i ifn,2
type ii endoleak,2
type ii respiratory failure,2
type iii hypersensitivity reaction,2
type vii collagen,2
typhlitis,2
tyrosine,2
tyrosine kinase inhibitors (tkis),2
tyrosine-kinase inhibitors,2
tzanck smear,2
ubap1,2
ubiquitination,2
ukraine,2
ulcerative,2
ulcerative colitis (uc),2
ulcerative keratitis,2
ulcerative lesion,2
ulnar,2
ulnar nerve injury,2
ulnar neuropathy,2
ulnar osteotomy,2
ultra-endurance,2
ultra-widefield,2
ultra-widefield imaging,2
ultrabiomicroscopy,2
ultrasonic bone curette,2
ultrasound case presentation,2
ultrasound guided puncture,2
ultrasound monitoring,2
ultrasound-assisted catheter-directed thrombolysis,2
ultrasound-guided blocks,2
ultrasound-guided intervention,2
ultraviolet,2
umbilical cord entanglement,2
umbilical nodule,2
uncertainty,2
unconsciousness,2
uncontrolled diabetes,2
uncontrolled diabetes mellitus,2
undescended testicle,2
undifferentiated,2
undifferentiated cancer,2
undifferentiated connective tissue disease,2
undifferentiated small round cell sarcoma,2
unerupted,2
unexplained infertility,2
ungual fibroma,2
unicameral bone cyst,2
unicentric,2
unicentric castleman's disease,2
unicompartmental knee arthroplasty,2
unicondylar,2
unicystic ameloblastoma,2
unilateral axillary lymphadenopathy,2
unilateral biportal endoscopy (ube),2
unilateral cleft lip,2
unilateral gynecomastia,2
unilateral hearing loss,2
unilateral paralysis,2
unilateral ptosis,2
unilateral renal cystic disease,2
unilocular lesion,2
unilocular radiolucency,2
unintentional weight loss,2
uniportal video-assisted thoracoscopic surgery,2
unique presentation,2
univentricular heart,2
university,2
unknown etiology,2
unknown primary neoplasms,2
unnecessary,2
unrelated donor,2
unresponsive wakefulness syndrome (uws),2
unruptured,2
unruptured aneurysm,2
unruptured cerebral aneurysm,2
unruptured intracranial aneurysm,2
unsuccessful treatments,2
unusual case,2
unusual location,2
unusual manifestation,2
unusual metastasis,2
upd(14)pat,2
upper abdominal pain,2
upper extremity deep vein thrombosis,2
upper extremity deep venous thrombosis,2
upper extremity ischemia,2
upper eyelid reconstruction,2
upper gastrointestinal endoscopy,2
upper gastrointestinal hemorrhage,2
upper motor neuron syndrome,2
upper respiratory tract infection,2
upside‐down stomach,2
upward migration,2
urachal cancer,2
urachal mass,2
urban,2
urea breath test,2
urea cycle disorder,2
urea cycle disorders,2
ureaplasma urealyticum,2
uremic,2
ureteral,2
ureteral access sheath,2
ureteral carcinoma,2
ureteral reconstruction,2
ureteral stones,2
ureteral trauma,2
ureteric obstruction,2
ureteric strictures,2
ureterohydronephrosis,2
ureteroplasty,2
ureterosciatic hernia,2
ureteroureterostomy,2
urethral catheterization,2
urethral diverticula,2
urethral fistula,2
urethral hemangioma,2
urethral melanoma,2
urethral recurrence,2
urethrocutaneous fistula,2
urethrocystoscopy,2
urethro–rectal fistula,2
urgency,2
uridine triacetate,2
urinary ascites,2
urinary bladder rupture,2
urinary fistula,2
urinary infection,2
urinary leakage,2
urinary sediment,2
urinary tract malformation,2
urine cytology,2
urine retention,2
urodynamics,2
urogenital abnormalities,2
urogenital neoplasms,2
urorectal septum malformation sequence,2
urothelial bladder carcinoma,2
urothelial cell carcinoma,2
urticaria pigmentosa,2
usa,2
usb1,2
usg,2
usp6,2
uterine adenosarcoma,2
uterine arteriovenous fistula,2
uterine cervical cancer,2
uterine didelphys,2
uterine leiomyomatosis,2
uterine mass,2
uterine pecoma,2
uterine tumor,2
uterus masculinus,2
uvea,2
uveal,2
uvulectomy,2
v cholerae,2
va ecmo,2
vac therapy,2
vaccine adverse event,2
vaccine-induced prothrombotic immune thrombocytopenia,2
vacterl association,2
vacuoles,2
vacuum,2
vacuum assisted closure,2
vacuum phenomenon,2
vacuum-assisted closure therapy,2
vagal schwannoma,2
vaginal adenocarcinoma,2
vaginal fistula,2
vaginal leiomyoma,2
vaginal mass,2
vaginal reconstruction,2
vaginal stenosis,2
vaginal tumour,2
vaginal vault,2
vagus nerve stimulator,2
valence,2
valganciclovir,2
valgus deformity,2
vallecula,2
valproate sodium,2
valsalva aneurysm,2
valsalva maculopathy,2
values,2
valve-in-mac,2
valvular prosthesis,2
vancomycin-resistant enterococcus,2
vancouver classification,2
vanek’s tumor,2
vanillylmandelic acid,2
vanishing bile duct syndrome,2
vanishing testis,2
vaping-associated lung injury,2
variant of concern,2
variants of uncertain significance (vus),2
varicella-zoster,2
varicosities,2
varicosity,2
vas deferens,2
vascular abnormalities,2
vascular abnormality,2
vascular access devices,2
vascular anastomoses,2
vascular anastomosis,2
vascular calcification,2
vascular closure devices,2
vascular dementia,2
vascular dilation,2
vascular dysfunction,2
vascular ehlers danlos syndrome,2
vascular ehlers-danlos syndrome,2
vascular emergency,2
vascular endothelial growth factor inhibitor,2
vascular endothelial growth factor receptor (vegfr),2
vascular fistula,2
vascular graft,2
vascular grafting,2
vascular leiomyoma,2
vascular plug,2
vascular proliferation,2
vascular replacement,2
vascular system injuries,2
vascular thrombosis,2
vascularization,2
vascularized bone flap,2
vascularized composite allotransplantation,2
"vasculitis, central nervous system",2
vasoactive intestinal peptide,2
vasoplegic shock,2
vasovagal syncope,2
vca,2
vcp,2
vegan,2
vegetarian,2
vegfr2,2
vein of marshall,2
vein thrombosis,2
velum interpositum,2
"vena cava, inferior",2
venereal disease research laboratory,2
venetoclax (bcl2 inhibitor),2
venipuncture,2
veno-arterial extracorporeal membrane oxygenation (va-ecmo),2
veno-venous extracorporeal membrane oxygenation (vv ecmo),2
venography,2
venom,2
venomous animals,2
venoms,2
venorrhaphy,2
venous anastomosis,2
venous compression,2
venous doppler,2
venous hypertension,2
venous pressure,2
venous reflux,2
venous sinus occlusion,2
venous sinus stenosis,2
venous sinus thrombosis,2
venous stenting,2
venous thoracic outlet syndrome,2
venous thrombo-embolism,2
venous thromboembolism prophylaxis,2
ventilation-perfusion lung scan,2
ventilator,2
ventilator weaning,2
ventral hernia repair,2
ventricular drainage,2
ventricular dysfunction,2
ventricular empyema,2
ventricular enlargement,2
ventricular noncompaction,2
ventricular rupture,2
ventricular septal hypertrophy,2
ventricular shunt,2
ventriculoatrial shunt,2
ventriculoperitoneal shunt complication,2
ventriculotomy,2
verbal fluency,2
vermiform appendix,2
verruca plana,2
verruciform xanthoma,2
vertebrae,2
vertebral anomalies,2
vertebral artery anomaly,2
vertebral artery stump syndrome,2
vertebral body,2
vertebral compression fractures,2
vertebral fusion,2
vertebral malformation,2
vertebral metastases,2
vertebral metastasis,2
vertebral tumor,2
vertebrobasilar insufficiency,2
vertical root fracture,2
very long chain fatty acids,2
very-late-onset schizophrenia-like psychosis,2
vesicoenteric fistula,2
vesicouterine fistula,2
vesicular rash,2
vesiculobullous,2
vestibular deepening,2
vestibular disorder,2
vestibular function,2
vestibular paroxysmia,2
vestibulocochlear nerve,2
veterinary medicine,2
viable,2
vibrio parahaemolyticus,2
vibroacoustic therapy,2
victim,2
video head impulse test (vhit),2
video laryngoscope,2
video laryngoscopy,2
video-assisted surgery,2
villar’s nodule,2
villous adenoma,2
villous atrophy,2
vinblastine,2
viral evolution,2
viral hepatitis a,2
viral illness,2
viral meningitis,2
viral meningoencephalitis,2
viral myocarditis,2
viral myositis,2
viral pericarditis,2
viral shedding,2
virchow–robin space,2
virchow’s triad,2
viridans streptococci,2
virilisation,2
virtual care,2
virtual-reality,2
virulence,2
virulence factor,2
virus diseases,2
virus infection,2
visceral,2
visceral aneurysm,2
visceral artery pseudoaneurysm,2
visceral hyperalgesia,2
vision sense,2
visual,2
visual attention,2
visual cortex,2
visual disturbances,2
visual dysfunction,2
visual evoked potentials,2
visualization,2
visually impaired children,2
visuospatial dysfunction,2
visuospatial neglect,2
vitamin b12 deficiency anemia,2
vitamin d receptor,2
vitamin deficiency,2
vitamin k antagonists,2
vitamin k deficiency,2
vitamin k1,2
vitelliform macular dystrophy,2
vitelline duct,2
vitreomacular adhesion,2
vitreous amyloidosis,2
vitreous traction,2
vitrification,2
vivax malaria,2
vkorc1,2
vocal cord palsy,2
vogt-koyanagi-harada syndrome,2
vogt-koyanagi-harada-like disease,2
vogt–koyanagi–harada syndrome,2
void,2
voiding cystourethrography,2
volanesorsen,2
volkmann’s ischemic contracture,2
voltage gated potassium channel antibody,2
voltage-gated potassium channel,2
volume overload,2
volume rendering technique,2
volumetric-modulated arc therapy,2
volumetric‐modulated arc therapy (vmat),2
von gierke disease,2
von hippel lindau disease,2
von hippel–lindau syndrome,2
von recklinghausen disease,2
von willebrand syndrome,2
voriconazole (vcz),2
vortioxetine,2
voxel-based morphometry,2
voxelotor,2
vps13b gene,2
vram,2
vre,2
vrsa,2
"vt, ventricular tachycardia",2
vulvar carcinoma,2
vulvar intraepithelial neoplasia,2
vulvar melanoma,2
vulvar metastasis,2
vulvar pain,2
vulvar squamous cell carcinoma,2
vulvectomy,2
vv ecmo,2
vv1 type,2
vwf,2
wake-up stroke,2
wall-eyed bilateral internuclear ophthalmoplegia,2
walled-off pancreatic necrosis,2
warfarin resistance,2
warfarin-related nephropathy,2
wasp sting,2
watchful waiting,2
water deprivation test,2
watershed shift,2
waugh's syndrome,2
wear,2
web space,2
wegner’s granulomatosis,2
weil's disease,2
weill–marchesani syndrome,2
weissella confusa,2
welfare,2
well-differentiated,2
wellness,2
wells syndrome,2
wernicke aphasia,2
wernicke-korsakoff syndrome,2
wernicke–korsakoff syndrome,2
wernicke’s aphasia,2
wes - whole-exome sequencing,2
western ethiopia,2
wet age-related macular degeneration,2
wfs1 gene,2
wheat-dependent exercise-induced anaphylaxis,2
wheeze,2
whiplash,2
whipple,2
whirlpool sign,2
white blood cell count,2
white dot syndrome,2
white matter abnormalities,2
white matter hyperintensities,2
white matter lesions,2
whole body imaging,2
whole exom sequencing,2
whole genome analysis,2
whole-genome sequencing (wgs),2
wide resection,2
williams–beuren syndrome,2
wilms tumour,2
wilms' tumor,2
windkessel,2
wine glass sign,2
wingspan,2
withdrawal symptoms,2
withdrawal syndrome,2
wnt signaling pathway,2
wolaita,2
wolf-parkinson-white (wpw),2
wolff-parkinson-white,2
wolfram syndrome 1 (wfs1),2
wooden chest syndrome,2
work-related,2
workers’ compensation,2
workflow,2
workplace violence,2
wound bed preparation,2
wound dressing,2
wound repair,2
"wounds, penetrating",2
woven coronary artery,2
wrist injuries,2
wrn gene,2
wt1 gene,2
wu polyomavirus,2
x,2
x chromosome inactivation,2
x-linked adrenoleukodystrophy,2
x-linked disorder,2
x-linked disorders,2
x-linked hyper igm syndrome,2
x-linked lymphoproliferative disease,2
x-linked lymphoproliferative disease type 1,2
x-linked recessive,2
xanthelasma,2
xanthogranulomatous change,2
xanthoma cells,2
xanthomatous hypophysitis,2
xdr,2
xenon,2
xlp1,2
xmen,2
xylene,2
y chromosome,2
yamaguchi criteria,2
yamaguchi syndrome,2
yamane technique,2
yeast,2
yellow fever virus,2
yersinia pseudotuberculosis,2
yersiniosis,2
yips,2
yolk sac,2
yolk sac tumour,2
young child,2
young lady,2
young male,2
young onset parkinsonism,2
young women,2
youth athlete,2
zbtb24,2
